"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000126091",47.2123526226767,45.933190244061,54.8813032551924,41.6425008347537,40.3565107285467,39.2573138624718,56.7150528314616,49.2821470739393
"ENSG00000126106",156.459540668173,149.761339024907,177.815422546823,213.472609542369,116.024968344572,178.442335738508,262.680244693085,247.530784166831
"ENSG00000126107",1365.86434099093,1241.15307805307,1040.0006966859,1174.31852354006,1185.47250265106,1252.66519688433,1059.67598711415,1113.32850435217
"ENSG00000126214",416.127480092894,392.824470733063,426.976539325397,455.437456497991,331.680072550243,306.920817470234,408.945380942644,375.21634704022
"ENSG00000126215",137.794191956882,177.034170732318,170.680853123648,225.30784662172,189.171144040063,221.26849631575,292.530272499118,240.810491384022
"ENSG00000126216",730.693503962589,706.701270734147,815.536166372159,671.54011872466,1041.70243318061,913.624758981162,949.230884231832,1015.88425900143
"ENSG00000126217",1283.51721432347,1313.88062927283,981.826515235392,993.283230437389,41.6176516888138,49.9638540067823,35.8200333672389,47.0420494796693
"ENSG00000126218",1.64694253334919,9.09094390247041,7.13456942317501,6.13678959670055,0,0,0,0
"ENSG00000126226",1225.87422565624,1148.80822683323,1205.74223251658,1128.73094367885,548.596317716182,567.446627648456,474.615442115916,476.020738782368
"ENSG00000126231",9.33267435564539,18.1818878049408,31.8311558880116,18.4103687901016,1.26114096026708,10.7065401443105,5.97000556120649,6.7202927828099
"ENSG00000126233",0.548980844449729,1.91388292683588,0.548813032551924,8.76684228100079,1.26114096026708,0,2.98500278060324,1.12004879713498
"ENSG00000126243",461.692890182222,466.987434147954,265.076694722579,342.783533187131,133.680941788311,121.340788302186,101.49009454051,113.124928510633
"ENSG00000126246",49.4082760004756,45.933190244061,83.4195809478924,59.1761853967553,10.0891276821367,0,2.98500278060324,8.96039037707987
"ENSG00000126247",11726.7798182907,11597.6520658937,10147.5529718851,10392.2148398983,9478.73545736741,10060.5788889371,8635.61304428518,8782.30261833541
"ENSG00000126249",185.555525424008,205.263943903148,204.707261141868,191.555503839867,92.0632900994972,96.3588612987944,122.385114004733,159.046929193168
